Welcome to the profile statistics browser.
profiling.data% profiling.data% profiling.data% Thu Sep 15 15:37:01 2016    profiling.data

         16958841 function calls (16955127 primitive calls) in 29.129 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2248    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
     2588    0.001    0.000    0.037    0.000 chromosome.py:26(__ne__)
     2588    0.001    0.000    0.014    0.000 {method 'all' of 'numpy.ndarray' objects}
      104    0.001    0.000    0.004    0.000 inspect.py:2379(from_function)
     3284    0.001    0.000    0.001    0.000 {built-in method getattr}
      680    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:217(release)
      295    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap>:1902(_get_spec)
        1    0.001    0.001    0.002    0.002 core.py:21(<module>)
      104    0.001    0.000    0.006    0.000 _decorator3.py:136(make)
      104    0.001    0.000    0.007    0.000 inspect.py:943(getfullargspec)
     2884    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:518(_verbose_message)
     3788    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     6266    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      104    0.001    0.000    0.004    0.000 _decorator3.py:78(__init__)
   179/23    0.001    0.000    0.003    0.000 sre_compile.py:70(_compile)
        4    0.001    0.000    0.030    0.008 ga.py:30(<listcomp>)
      368    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:293(_lock_unlock_module)
 1011/373    0.001    0.000    0.074    0.000 <frozen importlib._bootstrap>:2264(_handle_fromlist)
      290    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:884(spec_from_file_location)
    277/3    0.001    0.000    0.156    0.052 <frozen importlib._bootstrap>:1465(exec_module)
    14/13    0.001    0.000    0.001    0.000 {built-in method init_builtin}
      554    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:824(cached)
       41    0.001    0.000    0.001    0.000 {built-in method listdir}
      277    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap>:654(_compile_bytecode)
      277    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:129(_new_module)
