Welcome to the profile statistics browser.
profiling.data% profiling.data% profiling.data% Thu Sep 15 15:37:01 2016    profiling.data

         16958841 function calls (16955127 primitive calls) in 29.129 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
       65    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1729(<genexpr>)
        1    0.000    0.000    0.004    0.004 polynomial.py:55(<module>)
       52    0.000    0.000    0.000    0.000 <string>:12(__new__)
       29    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 all.py:2(<module>)
       24    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:116(<listcomp>)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.009    0.009 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
        1    0.000    0.000    0.010    0.010 __init__.py:7(<module>)
        2    0.000    0.000    0.008    0.004 __init__.py:3(<module>)
        1    0.000    0.000    0.003    0.003 hermite.py:59(<module>)
      281    0.000    0.000    0.000    0.000 {built-in method ord}
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 katz.py:3(<module>)
        6    0.000    0.000    0.004    0.001 string.py:97(substitute)
        9    0.000    0.000    0.000    0.000 extras.py:245(getdoc)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.001    0.001 subprocess.py:746(__init__)
       14    0.000    0.000    0.000    0.000 py3k.py:28(asbytes)
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
        1    0.000    0.000    0.000    0.000 cuts.py:4(<module>)
       77    0.000    0.000    0.000    0.000 sre_parse.py:146(__setitem__)
        1    0.000    0.000    0.000    0.000 decimal.py:553(Decimal)
        8    0.000    0.000    0.000    0.000 core.py:7199(__init__)
        1    0.000    0.000    0.006    0.006 release.py:30(<module>)
        1    0.000    0.000    0.002    0.002 hashlib.py:53(<module>)
       23    0.000    0.000    0.000    0.000 sre_parse.py:738(fix_flags)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2322(__import__)
       21    0.000    0.000    0.000    0.000 sre_parse.py:265(_class_escape)
      101    0.000    0.000    0.000    0.000 opcode.py:41(def_op)
        1    0.000    0.000    0.003    0.003 util.py:243(find_library)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cycles.py:5(<module>)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2187(_sanity_check)
       23    0.000    0.000    0.009    0.000 re.py:221(compile)
        1    0.000    0.000    0.000    0.000 numerictypes.py:345(_add_integer_aliases)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
      150    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 sre_compile.py:411(_bytes_to_codes)
        1    0.000    0.000    0.003    0.003 laplacianmatrix.py:3(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method pow}
        6    0.000    0.000    0.000    0.000 decimal.py:3944(_set_signal_dict)
      106    0.000    0.000    0.000    0.000 {built-in method callable}
        4    0.000    0.000    0.000    0.000 uuid.py:104(__init__)
        1    0.000    0.000    0.001    0.001 gexf.py:17(<module>)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:44(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.000    0.000 loader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 random_graphs.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:335(__init__)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
       31    0.000    0.000    0.000    0.000 _inspect.py:39(iscode)
        1    0.000    0.000    0.000    0.000 {built-in method waitpid}
        9    0.000    0.000    0.000    0.000 {built-in method round}
        1    0.000    0.000    0.000    0.000 <string>:7(HermiteE)
        1    0.000    0.000    0.000    0.000 numeric.py:353(<listcomp>)
        1    0.000    0.000    0.004    0.004 graphml.py:36(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        6    0.000    0.000    0.000    0.000 decimal.py:562(__new__)
        1    0.000    0.000    0.000    0.000 bipartite.py:5(<module>)
        8    0.000    0.000    0.000    0.000 core.py:7204(getdoc)
        1    0.000    0.000    0.003    0.003 gpickle.py:22(<module>)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 degree_seq.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
       27    0.000    0.000    0.000    0.000 decimal.py:3955(__setattr__)
        1    0.000    0.000    0.000    0.000 geometric.py:4(<module>)
        1    0.000    0.000    0.000    0.000 fractions.py:49(Fraction)
       46    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        1    0.000    0.000    0.000    0.000 {built-in method cpu_count}
        1    0.000    0.000    0.000    0.000 graph.py:9(<module>)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        1    0.000    0.000    0.007    0.007 _decorator3.py:29(<module>)
        1    0.000    0.000    0.000    0.000 spectrum.py:3(<module>)
       64    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.002    0.002 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 nx_agraph.py:17(<module>)
        1    0.000    0.000    0.000    0.000 basic.py:6(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:10(<module>)
       38    0.000    0.000    0.000    0.000 decimal.py:3919(<genexpr>)
        2    0.000    0.000    0.000    0.000 __init__.py:368(__getitem__)
        1    0.000    0.000    0.000    0.000 <string>:7(Chebyshev)
        1    0.000    0.000    0.000    0.000 <string>:7(Legendre)
        1    0.000    0.000    0.000    0.000 <string>:7(Hermite)
       19    0.000    0.000    0.000    0.000 {built-in method calcsize}
        1    0.000    0.000    0.000    0.000 release.py:161(get_info)
        2    0.000    0.000    0.000    0.000 utils.py:108(__call__)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
       22    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <string>:7(Laguerre)
        1    0.000    0.000    0.000    0.000 graph.py:25(Graph)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f5440ecb620}
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
        1    0.000    0.000    0.000    0.000 defmatrix.py:206(matrix)
        1    0.000    0.000    0.007    0.007 fractions.py:4(<module>)
        2    0.000    0.000    0.000    0.000 utils.py:152(deprecate)
        1    0.000    0.000    0.000    0.000 _iotools.py:466(StringConverter)
      177    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
        1    0.000    0.000    0.001    0.001 adjlist.py:24(<module>)
       82    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 {built-in method now}
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:141(__init__)
        1    0.000    0.000    0.000    0.000 <string>:7(Polynomial)
        1    0.000    0.000    0.000    0.000 getlimits.py:194(iinfo)
        1    0.000    0.000    0.000    0.000 <string>:5(_Instruction)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 multiline_adjlist.py:27(<module>)
       24    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:458(_set_array_types)
        1    0.000    0.000    0.001    0.001 main.py:1(<module>)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
        1    0.000    0.000    0.001    0.001 gml.py:24(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:386(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 matchhelpers.py:3(<module>)
        1    0.000    0.000    0.000    0.000 decimal.py:3875(Context)
        1    0.000    0.000    0.002    0.002 string.py:15(<module>)
        2    0.000    0.000    0.000    0.000 getlimits.py:244(__init__)
        1    0.000    0.000    0.000    0.000 classic.py:12(<module>)
        1    0.000    0.000    0.000    0.000 graphml.py:199(GraphML)
        1    0.000    0.000    0.000    0.000 bz2.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:33(<module>)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
      104    0.000    0.000    0.000    0.000 inspect.py:2464(parameters)
        1    0.000    0.000    0.000    0.000 tarfile.py:718(TarInfo)
       15    0.000    0.000    0.000    0.000 decimal.py:3930(_set_integer_check)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:33(<module>)
        2    0.000    0.000    0.000    0.000 re.py:239(escape)
        1    0.000    0.000    0.000    0.000 digraph.py:1(<module>)
       25    0.000    0.000    0.000    0.000 posixpath.py:38(_get_sep)
        1    0.000    0.000    0.000    0.000 tarfile.py:1375(TarFile)
        1    0.000    0.000    0.000    0.000 clique.py:13(<module>)
        2    0.000    0.000    0.000    0.000 posixpath.py:318(normpath)
       36    0.000    0.000    0.000    0.000 __init__.py:22(<genexpr>)
        1    0.000    0.000    0.007    0.007 dag.py:2(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1290(datetime)
        1    0.000    0.000    0.000    0.000 current_flow_betweenness_subset.py:3(<module>)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        3    0.000    0.000    0.000    0.000 contextlib.py:96(contextmanager)
       24    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
       30    0.000    0.000    0.000    0.000 decimal.py:3926(<genexpr>)
        9    0.000    0.000    0.000    0.000 core.py:2428(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method close}
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 financial.py:10(<module>)
        1    0.000    0.000    0.000    0.000 current_flow_closeness.py:4(<module>)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
       19    0.000    0.000    0.000    0.000 tokenize.py:109(group)
        1    0.000    0.000    0.000    0.000 small.py:5(<module>)
       17    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 graph.py:1591(size)
        1    0.000    0.000    0.000    0.000 threshold.py:3(<module>)
        1    0.000    0.000    0.001    0.001 pajek.py:14(<module>)
        9    0.000    0.000    0.000    0.000 core.py:2434(getdoc)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(FullArgSpec)
        1    0.000    0.000    0.000    0.000 subprocess.py:1526(wait)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1697(__init__)
        1    0.000    0.000    0.000    0.000 current_flow_betweenness.py:3(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:283(timedelta)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
        1    0.000    0.000    0.000    0.000 astar.py:3(<module>)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        1    0.000    0.000    0.001    0.001 sparsegraph6.py:16(<module>)
        1    0.000    0.000    0.001    0.001 correlation.py:3(<module>)
        3    0.000    0.000    0.000    0.000 matchhelpers.py:20(copyfunc)
        1    0.000    0.000    0.001    0.001 edgelist.py:28(<module>)
        1    0.000    0.000    0.000    0.000 closeness.py:3(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:742(Popen)
        1    0.000    0.000    0.000    0.000 leda.py:10(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(SelectorKey)
       24    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        1    0.000    0.000    0.000    0.000 directed.py:9(<module>)
        1    0.000    0.000    0.000    0.000 context.py:29(BaseContext)
        1    0.000    0.000    0.000    0.000 <string>:5(Mismatch)
        1    0.000    0.000    0.000    0.000 chordal_alg.py:8(<module>)
        1    0.000    0.000    0.000    0.000 distance_measures.py:4(<module>)
        1    0.000    0.000    0.000    0.000 convert.py:33(<module>)
        5    0.000    0.000    0.000    0.000 datetime.py:646(__new__)
        1    0.000    0.000    0.006    0.006 <string>:1(write_gpickle)
        1    0.000    0.000    0.000    0.000 multigraph.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:348(_Pickler)
        1    0.000    0.000    0.001    0.001 nx_yaml.py:15(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgSpec)
        1    0.000    0.000    0.000    0.000 weighted.py:4(<module>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(ModuleInfo)
       50    0.000    0.000    0.000    0.000 {built-in method sizeof}
        4    0.000    0.000    0.000    0.000 core.py:92(doc_note)
        1    0.000    0.000    0.000    0.000 {method 'timetuple' of 'datetime.datetime' objects}
        1    0.000    0.000    0.001    0.001 string.py:61(__init__)
        1    0.000    0.000    0.000    0.000 cluster.py:7(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1808(timezone)
        1    0.000    0.000    0.000    0.000 polytemplate.py:11(<module>)
        1    0.000    0.000    0.006    0.006 gpickle.py:41(write_gpickle)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        3    0.000    0.000    0.000    0.000 result.py:12(failfast)
        1    0.000    0.000    0.000    0.000 arraysetops.py:26(<module>)
        4    0.000    0.000    0.000    0.000 abc.py:151(register)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(Attribute)
       21    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        9    0.000    0.000    0.002    0.000 decorators.py:67(require)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:144(__enter__)
        1    0.000    0.000    0.001    0.001 re.py:167(search)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:16(<module>)
        1    0.000    0.000    0.000    0.000 betweenness_subset.py:3(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:742(Thread)
        1    0.000    0.000    0.000    0.000 _internal.py:196(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 unweighted.py:4(<module>)
        1    0.000    0.000    0.000    0.000 degree_alg.py:4(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgInfo)
        1    0.000    0.000    0.000    0.000 biconnected.py:4(<module>)
        1    0.000    0.000    0.000    0.000 betweenness.py:3(<module>)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 random.py:93(seed)
        1    0.000    0.000    0.000    0.000 <string>:5(DecimalTuple)
       40    0.000    0.000    0.000    0.000 numerictypes.py:157(english_upper)
        1    0.000    0.000    0.000    0.000 threading.py:761(__init__)
        1    0.000    0.000    0.000    0.000 mis.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:224(_ctypes)
        1    0.000    0.000    0.000    0.000 <string>:5(usage)
        1    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        1    0.000    0.000    0.000    0.000 uuid.py:56(UUID)
        1    0.000    0.000    0.000    0.000 load.py:4(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:1461(_handle_exitstatus)
       45    0.000    0.000    0.000    0.000 {built-in method divmod}
        1    0.000    0.000    0.000    0.000 graphical.py:3(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:978(time)
        1    0.000    0.000    0.000    0.000 weakref.py:101(__init__)
        9    0.000    0.000    0.000    0.000 extras.py:241(__init__)
        1    0.000    0.000    0.000    0.000 <string>:5(Traceback)
       14    0.000    0.000    0.000    0.000 numerictypes.py:184(english_capitalize)
        1    0.000    0.000    0.000    0.000 depth_first_search.py:10(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method asctime}
        1    0.000    0.000    0.146    0.146 graph.py:32(__init__)
        1    0.000    0.000    0.000    0.000 mixing.py:4(<module>)
        1    0.000    0.000    0.000    0.000 connectivity.py:7(<module>)
        1    0.000    0.000    0.000    0.000 function.py:2(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(ClosureVars)
        1    0.000    0.000    0.000    0.000 process.py:62(BaseProcess)
        1    0.000    0.000    0.000    0.000 tempfile.py:645(SpooledTemporaryFile)
       80    0.000    0.000    0.000    0.000 {built-in method globals}
        1    0.000    0.000    0.000    0.000 connectivity.py:4(<module>)
        1    0.000    0.000    0.002    0.002 cElementTree.py:3(<module>)
        6    0.000    0.000    0.000    0.000 functools.py:73(wraps)
       36    0.000    0.000    0.000    0.000 context.py:254(<genexpr>)
        1    0.000    0.000    0.000    0.000 <string>:5(Match)
        4    0.000    0.000    0.000    0.000 fractions.py:289(_operator_fallbacks)
        1    0.000    0.000    0.000    0.000 test.py:2(<module>)
        1    0.000    0.000    0.000    0.000 random.py:68(Random)
        1    0.000    0.000    0.000    0.000 vf2userfunc.py:32(<module>)
        7    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        1    0.000    0.000    0.000    0.000 polynomial.py:930(poly1d)
        1    0.000    0.000    0.000    0.000 mincost.py:4(<module>)
        1    0.000    0.000    0.000    0.000 cluster.py:2(<module>)
        1    0.000    0.000    0.006    0.006 graph.py:48(write)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
        3    0.000    0.000    0.000    0.000 datetime.py:1300(__new__)
        1    0.000    0.000    0.000    0.000 kclique.py:7(<module>)
        1    0.000    0.000    0.000    0.000 pagerank_alg.py:1(<module>)
        1    0.000    0.000    0.087    0.087 graph.py:3(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(_LoggingWatcher)
        1    0.000    0.000    0.000    0.000 chromosome.py:5(Chromosome)
        1    0.000    0.000    0.000    0.000 binary.py:3(<module>)
        1    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1591(ArgumentParser)
        6    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 <string>:5(Arguments)
        1    0.000    0.000    0.000    0.000 core.py:5761(MaskedConstant)
        3    0.000    0.000    0.000    0.000 index_tricks.py:231(__init__)
        6    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 nx_pylab.py:15(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:361(__getattr__)
        1    0.000    0.000    0.000    0.000 datetime.py:616(date)
        1    0.000    0.000    0.000    0.000 release.py:120(get_revision)
        5    0.000    0.000    0.000    0.000 datetime.py:252(_check_date_fields)
        1    0.000    0.000    0.000    0.000 random_sequence.py:4(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method seterrobj}
        1    0.000    0.000    0.000    0.000 os.py:772(fsdecode)
        1    0.000    0.000    0.000    0.000 multidigraph.py:1(<module>)
        1    0.000    0.000    0.000    0.000 process.py:298(__init__)
        1    0.000    0.000    0.000    0.000 product.py:3(<module>)
        1    0.000    0.000    0.000    0.000 neighbor_degree.py:7(<module>)
        1    0.000    0.000    0.000    0.000 digraph.py:17(DiGraph)
        1    0.000    0.000    0.000    0.000 posixpath.py:99(split)
        6    0.000    0.000    0.000    0.000 hashlib.py:98(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 {built-in method uname}
        1    0.000    0.000    0.000    0.000 bz2.py:33(BZ2File)
        2    0.000    0.000    0.000    0.000 numeric.py:2320(seterr)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
        1    0.000    0.000    0.000    0.000 projection.py:3(<module>)
        2    0.000    0.000    0.000    0.000 posixpath.py:355(abspath)
        5    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 numpytest.py:1(<module>)
        1    0.000    0.000    0.000    0.000 runner.py:29(TextTestResult)
        2    0.000    0.000    0.000    0.000 sre_compile.py:423(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 warnings.py:335(__enter__)
        2    0.000    0.000    0.000    0.000 datetime.py:1002(__new__)
        1    0.000    0.000    0.000    0.000 matching.py:5(<module>)
        1    0.000    0.000    0.000    0.000 result.py:24(TestResult)
        1    0.000    0.000    0.000    0.000 exception.py:9(<module>)
        1    0.000    0.000    0.000    0.000 breadth_first_search.py:7(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method pipe}
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
        2    0.000    0.000    0.000    0.000 subprocess.py:488(_eintr_retry_call)
        1    0.000    0.000    0.000    0.000 __init__.py:759(__init__)
        6    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 ElementTree.py:122(Element)
        1    0.000    0.000    0.000    0.000 argparse.py:153(HelpFormatter)
       52    0.000    0.000    0.000    0.000 _compat_pickle.py:136(<genexpr>)
        1    0.000    0.000    0.000    0.000 random_clustered.py:3(<module>)
        1    0.000    0.000    0.000    0.000 functools.py:420(decorating_function)
        1    0.000    0.000    0.000    0.000 generic.py:10(<module>)
        1    0.000    0.000    0.000    0.000 flow_matrix.py:3(<module>)
       10    0.000    0.000    0.000    0.000 graphml.py:223(<genexpr>)
        1    0.000    0.000    0.000    0.000 swap.py:3(<module>)
        1    0.000    0.000    0.000    0.000 isomorphvf2.py:129(<module>)
        1    0.000    0.000    0.000    0.000 decorators.py:15(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:210(__init__)
        1    0.000    0.000    0.000    0.000 intersection.py:4(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:894(__exit__)
        1    0.000    0.000    0.000    0.000 core.py:5564(mvoid)
        1    0.000    0.000    0.000    0.000 pairs.py:2(<module>)
        1    0.000    0.000    0.067    0.067 chromosome.py:3(<module>)
        6    0.000    0.000    0.000    0.000 os.py:759(fsencode)
        1    0.000    0.000    0.000    0.000 redundancy.py:2(<module>)
        1    0.000    0.000    0.000    0.000 layout.py:7(<module>)
       13    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 subprocess.py:1272(_get_handles)
        1    0.000    0.000    0.000    0.000 {built-in method sysconf}
        1    0.000    0.000    0.000    0.000 os.py:628(__getitem__)
        1    0.000    0.000    0.000    0.000 isomorph.py:3(<module>)
        1    0.000    0.000    0.002    0.002 linecache.py:6(<module>)
        1    0.000    0.000    0.000    0.000 mst.py:5(<module>)
        1    0.000    0.000    0.000    0.000 weakref.py:312(__init__)
        1    0.000    0.000    0.000    0.000 attrmatrix.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:246(NameValidator)
        1    0.000    0.000    0.000    0.000 relabel.py:7(<module>)
        1    0.000    0.000    0.000    0.000 strongly_connected.py:4(<module>)
        1    0.000    0.000    0.001    0.001 atlas.py:11(<module>)
       23    0.000    0.000    0.000    0.000 {built-in method max}
        1    0.000    0.000    0.000    0.000 inspect.py:2086(Parameter)
        1    0.000    0.000    0.000    0.000 _iotools.py:155(LineSplitter)
        1    0.000    0.000    0.000    0.000 rcm.py:3(<module>)
       11    0.000    0.000    0.000    0.000 opcode.py:45(name_op)
        1    0.000    0.000    0.000    0.000 multigraph.py:16(MultiGraph)
       84    0.000    0.000    0.000    0.000 {built-in method abs}
        1    0.000    0.000    0.000    0.000 info.py:83(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:1431(__init__)
        1    0.000    0.000    0.000    0.000 warnings.py:61(simplefilter)
        1    0.000    0.000    0.000    0.000 hits_alg.py:2(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method exp}
        1    0.000    0.000    0.000    0.000 multidigraph.py:18(MultiDiGraph)
        1    0.000    0.000    0.000    0.000 __init__.py:750(Handler)
        1    0.000    0.000    0.000    0.000 attracting.py:4(<module>)
        1    0.000    0.000    0.000    0.000 spectral.py:4(<module>)
        1    0.000    0.000    0.000    0.000 social.py:3(<module>)
        8    0.000    0.000    0.000    0.000 __future__.py:77(__init__)
        1    0.000    0.000    0.000    0.000 block.py:7(<module>)
        1    0.000    0.000    0.000    0.000 info.py:147(<module>)
        1    0.000    0.000    0.000    0.000 graphmatrix.py:3(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1194(__init__)
        1    0.000    0.000    0.000    0.000 maxflow.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:419(get)
        1    0.000    0.000    0.000    0.000 degree_seq.py:683(DegreeSequenceRandomGraph)
        1    0.000    0.000    0.000    0.000 info.py:176(<module>)
        1    0.000    0.000    0.000    0.000 weakly_connected.py:4(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:1375(<listcomp>)
        2    0.000    0.000    0.000    0.000 numeric.py:2416(geterr)
        1    0.000    0.000    0.000    0.000 hybrid.py:4(<module>)
        1    0.000    0.000    0.000    0.000 connected.py:4(<module>)
        2    0.000    0.000    0.000    0.000 getlimits.py:269(max)
        5    0.000    0.000    0.000    0.000 inspect.py:2067(__new__)
        1    0.000    0.000    0.000    0.000 info.py:34(<module>)
        1    0.000    0.000    0.000    0.000 warnings.py:352(__exit__)
        1    0.000    0.000    0.000    0.000 selectors.py:281(SelectSelector)
        1    0.000    0.000    0.000    0.000 union_find.py:3(<module>)
        1    0.000    0.000    0.000    0.000 isomorphvf2.py:146(GraphMatcher)
        1    0.000    0.000    0.000    0.000 core.py:5767(__new__)
        1    0.000    0.000    0.000    0.000 info.py:84(<module>)
        1    0.000    0.000    0.000    0.000 main.py:48(TestProgram)
        1    0.000    0.000    0.000    0.000 __init__.py:1550(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 stochastic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decorator3.py:72(FunctionMaker)
       24    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        5    0.000    0.000    0.000    0.000 datetime.py:263(_check_time_fields)
        1    0.000    0.000    0.000    0.000 gexf.py:549(GEXFReader)
        6    0.000    0.000    0.000    0.000 opcode.py:53(jabs_op)
        1    0.000    0.000    0.000    0.000 gexf.py:236(GEXFWriter)
        1    0.000    0.000    0.000    0.000 graph.py:11(Graph)
        1    0.000    0.000    0.000    0.000 hierarchy.py:4(<module>)
        6    0.000    0.000    0.000    0.000 opcode.py:49(jrel_op)
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1311(is_package)
        2    0.000    0.000    0.000    0.000 subprocess.py:914(_get_devnull)
        1    0.000    0.000    0.000    0.000 {built-in method sum}
        1    0.000    0.000    0.000    0.000 graph.py:175(__init__)
        1    0.000    0.000    0.000    0.000 euler.py:4(<module>)
        2    0.000    0.000    0.000    0.000 numeric.py:1617(set_string_function)
